Filename, Score1 , Score2 , Score3 , Score4 , Score5 , Score6 , Score7 , Score8 , Score9 , Score10 , Score11 , Score12 , Score13 , Score14 , Score15 , Score16 , Score17 , Score18 , Score19 , Score20 , Score21 , Score22 , Score23 , Score24 , Score25 , Score26 , Score27 , Score28 , Score29 , Score30 , Score31 , Score32 , Score33 , Score34 , Score35 , Score36 , Score37 , Score38 , Score39 , Score40 , Score41 , Score42 , Score43 , Score44 , Score45 , Score46 , Score47 , Score48 , Score49 , Score50 , Score51 , Score52 , Score53 , Score54 , Score55 , Score56 , Score57 , Score58 , Score59 , Score60 , Score61 , Score62 , Score63 , Score64 , Score65 , Score66 , Score67 , Score68 , Score69 , Score70 , Score71 , Score72 , Score73 , Score74 , Score75 , Score76 , Score77 , Score78 , Score79 , Score80 , Score81 , Score82 , Score83 , Score84 , Score85 , Score86 , Score87 , Score88 , Score89 , Score90 , Score91 , Score92 , Score93 , Score94 , Score95 , Score96 , Score97 , Score98 , Score99 , Score100 , Citations
302194,0.2991581925,0.2756433207,0.2319062239,0.2244472399,0.1809008498,0.1676980665,0.1551009232,0.144546011,0.1424589958,0.1284359103,0.1254026591,0.1234960715,0.1113704559,0.1100522416,0.1083691496,0.1063678212,0.1051686289,0.104419364,0.103956436,0.0949722156,0.0940029401,0.0911276205,0.0911276205,0.0911245421,0.0902317449,0.0882661112,0.0863512516,0.0839849775,0.0835407109,0.082028961,0.0793896177,0.0740600991,0.0683457154,0.0683457154,0.0683457154,0.0683457154,0.0683457154,0.0683457154,0.0683457154,0.0683457154,0.0667662178,0.0655206053,0.0651723241,0.0635072109,0.0630821452,0.0612694301,0.0598640053,0.0592784808,0.0575796171,0.0558821505,0.055694999,0.0552434688,0.0546207674,0.0545269352,0.0543848789,0.0539211513,0.05344566,0.0533024177,0.0532228426,0.0523338643,0.0517784617,0.0512454509,0.0508951596,0.0505201462,0.0493884965,0.0492951445,0.0487682496,0.0482471727,0.0480701512,0.0478793331,0.0474743762,0.0463767219,0.0461996041,0.0460027709,0.0455638102,0.0455638102,0.0455638102,0.0455638102,0.0455638102,0.0455638102,0.0455638102,0.0455638102,0.0455638102,0.0455638102,0.0455638102,0.0455638102,0.045336525,0.0446543988,0.0441794816,0.0438912647,0.0436151768,0.04361393,0.0431293002,0.0429866505,0.0429866505,0.0429866505,0.0428484318,0.0424939586,0.0421242442,0.0416182332,30
302195,0.5337647957,0.3431809693,0.200874565,0.2006866211,0.1803322357,0.1801911589,0.1606126019,0.1593834154,0.1384386288,0.1346548632,0.1325935747,0.1019623586,0.0963749612,0.0935827897,0.0838342475,0.0819268917,0.0802621208,0.0780646276,0.0763194165,0.0705342734,0.0685490332,0.0681673381,0.0665120787,0.0656569369,0.0649543303,0.0611669731,0.0596686289,0.057227293,0.0566500308,0.0552567703,0.0549769469,0.0515131257,0.0514439823,0.0499934287,0.0490242159,0.0487090821,0.0486990571,0.0476092127,0.0475855419,0.0465330128,0.0464935636,0.0460370315,0.0452301477,0.0445608735,0.0443794765,0.0441652664,0.0436021085,0.0433355299,0.0429843716,0.0420872637,0.0418824253,0.0412502216,0.0410567091,0.0404587908,0.0402928596,0.0386642029,0.0386423813,0.0376716935,0.0370676103,0.0365703601,0.0365645957,0.0365631385,0.0358673588,0.0356891564,0.0356891564,0.035482662,0.0354065765,0.0346154622,0.0344302573,0.0342261333,0.034161857,0.0338592141,0.0331959926,0.032518847,0.0322382787,0.0321323593,0.0319832852,0.0315677156,0.0314541071,0.03135451,0.0309376275,0.0302005142,0.0300595451,0.029770273,0.0296613832,0.029582961,0.0291238669,0.029083133,0.028787401,0.0287784294,0.0286796852,0.0286457693,0.0284269039,0.0283223693,0.0282010106,0.0280639605,0.0280639605,0.0279957729,0.0278676766,0.0278172831,6
302017,0.2232225667,0.2199359842,0.2178024913,0.184796071,0.1797517537,0.1725438737,0.1723353728,0.1659318285,0.1540378996,0.1409561987,0.1339435326,0.1316655203,0.1287027027,0.1221711793,0.1209314692,0.1181448846,0.110368373,0.1092357762,0.1011343091,0.0997817532,0.0957285037,0.0932324129,0.0918664249,0.0903320131,0.0878652186,0.0876858556,0.0858749523,0.0848755154,0.0820163306,0.0805653152,0.0797046329,0.0778924294,0.0773685223,0.0770910777,0.076096156,0.0757961808,0.0725686649,0.0722393654,0.0717068592,0.0715501826,0.0709441398,0.0685199987,0.0684621455,0.0675369309,0.0672042325,0.0665518458,0.0652901644,0.0643889488,0.0629396591,0.0623596363,0.0622422063,0.0592586471,0.0585390668,0.0582363185,0.0575779252,0.0572162259,0.0563741527,0.0557946355,0.0554560717,0.0550265906,0.0544904082,0.054461338,0.054131526,0.0539100248,0.052644241,0.0522009941,0.0518932029,0.0518742019,0.0517797381,0.0517172101,0.0510888984,0.0510343263,0.0506682606,0.049755392,0.049732232,0.049010629,0.0487406614,0.0484627744,0.0479936857,0.0473554127,0.0469804168,0.0468549296,0.0465185524,0.0459114339,0.0455530486,0.0455408612,0.0455303853,0.0454057191,0.044659096,0.0444132441,0.0443231316,0.044127126,0.0440384236,0.0440322527,0.0439471862,0.0430180762,0.0419993336,0.0414397068,0.0412770243,0.0411939069,63
302015,0.5198827355,0.3658708627,0.2200999525,0.2144175113,0.1915144865,0.1680021111,0.1554834774,0.1396021849,0.1258546732,0.1232823117,0.112942723,0.1093206879,0.1030625574,0.1004050054,0.0957827513,0.0956572365,0.085793815,0.0848315912,0.0847183559,0.0838178927,0.0771438502,0.0726761883,0.0722922925,0.0721538772,0.0717445607,0.0713825932,0.0705868781,0.0689654618,0.0688493955,0.0677656338,0.0663969143,0.066085727,0.0645539184,0.0632389752,0.0609793421,0.0600412852,0.0598250286,0.05764382,0.0566449387,0.0553282326,0.0550481082,0.0547363555,0.0535404003,0.0533537777,0.0533537777,0.0518769454,0.05070642,0.05056793,0.0492481733,0.0465247757,0.0464318315,0.044841959,0.0441083363,0.0440297854,0.0440297854,0.0440297854,0.0418732501,0.0403577631,0.0400181732,0.0396306105,0.0395868659,0.0394202404,0.0390096511,0.0388708694,0.0386384269,0.037969241,0.0374258161,0.0370004008,0.0365979924,0.0363785625,0.0358840355,0.0354623234,0.0347529545,0.0345554296,0.0341272955,0.0340552108,0.0336951253,0.0329544109,0.0329303852,0.0327643394,0.0323441755,0.0313483722,0.0312406513,0.0310573135,0.0307856277,0.0307219902,0.0306982268,0.0285530373,0.0281646322,0.0281505959,0.0279444364,0.0272535706,0.0269779523,0.0266768888,0.0266768888,0.0266768888,0.0266768888,0.0266768888,0.0266768888,0.0266768888,20
302013,0.6978339192,0.3498848109,0.2369896123,0.1448731449,0.1360663154,0.1237195386,0.1236204338,0.1166282703,0.1081755564,0.1079236986,0.0878232286,0.0875099668,0.0744448342,0.0723446994,0.069903315,0.0693396612,0.068907528,0.0642411582,0.0618146036,0.0583141352,0.0583141352,0.0580771701,0.0561301206,0.0558336257,0.0546267506,0.0539095931,0.0511217793,0.0504847839,0.0498570345,0.0495818363,0.047990196,0.0478209742,0.0449568136,0.0438804433,0.0438804433,0.0436204452,0.043609047,0.0426261407,0.0424975848,0.042485957,0.0393073314,0.0388760901,0.038593304,0.0378339833,0.0374993559,0.0372224171,0.0365737418,0.0351528323,0.0351494421,0.0349534895,0.0348180015,0.0342299826,0.0340055969,0.0340055969,0.0339864434,0.0339151571,0.0338850407,0.0334216098,0.0314074663,0.0305741895,0.0305454501,0.0299048898,0.0297208933,0.0296276277,0.0292536288,0.0290448899,0.0287646731,0.0285853541,0.0285765807,0.0284307632,0.028270361,0.0279709404,0.0279709404,0.0278243278,0.0275296473,0.0274004594,0.0270435551,0.0267511244,0.0263219674,0.0260626361,0.0259774762,0.0259700856,0.025092351,0.0250072736,0.0249465714,0.0248734147,0.0246564227,0.0246138409,0.0245557408,0.0242813938,0.0241028629,0.0238841865,0.0238137274,0.0229385135,0.022844601,0.0226489385,0.0226262187,0.0225448756,0.0224599502,0.0223976382,10
303019,0.39275776,0.2707546522,0.2279927255,0.212512751,0.2092170809,0.2036152746,0.1897079314,0.1863113933,0.1473505938,0.1469992786,0.1348655717,0.1328802685,0.123595925,0.1142632168,0.1134218395,0.1129054809,0.1094839708,0.1015791762,0.0993437695,0.0975040079,0.0967824728,0.0885387849,0.0814461099,0.0807005913,0.0741182481,0.0714953931,0.0711939628,0.0706244254,0.0694905437,0.0678184934,0.0663531074,0.063826936,0.0637094613,0.0617710123,0.0616730698,0.0611587845,0.0610845824,0.0610845824,0.0606564503,0.0595163695,0.0585694617,0.0584121281,0.0579525032,0.0576295437,0.0557661065,0.0547397114,0.0542165645,0.0536972245,0.0533005949,0.052757503,0.0524101982,0.0513857803,0.0513689792,0.0510635953,0.0503349046,0.049271727,0.049271727,0.0492563714,0.0492419072,0.0491960233,0.0473829589,0.0468476924,0.0461240664,0.0457492606,0.0453228857,0.0451041763,0.045027393,0.0426153849,0.0421395562,0.0421036468,0.0418311174,0.0416750404,0.0416066448,0.0411920884,0.0407230549,0.0403585581,0.0401266868,0.0400891071,0.0400399281,0.0398168012,0.0397475657,0.0395624092,0.0393320058,0.0390722397,0.03879412,0.0387433137,0.0380938229,0.0376357459,0.0375184169,0.0375184169,0.0374190801,0.0372086197,0.0367854364,0.0367854364,0.0364054064,0.0361520709,0.0358051379,0.0357298531,0.0356448264,0.0355526561,0
302011,0.3905634633,0.2290162474,0.2280982064,0.2252197096,0.2155964147,0.1981047906,0.1914535993,0.1790799624,0.1506981652,0.1389230668,0.1358969978,0.1333027946,0.1274199963,0.1237713478,0.1083965586,0.1073631296,0.1017978625,0.0973336379,0.0970713059,0.0956120796,0.095382584,0.0944886528,0.0896790831,0.084984462,0.0826754853,0.0805405793,0.0787501376,0.0731402283,0.0712246839,0.070451323,0.0687452591,0.0643412946,0.0631898728,0.0624264166,0.0618215681,0.0614665271,0.0588045815,0.0585115381,0.0574657892,0.0561252014,0.0560420593,0.0556527992,0.0556334061,0.055366252,0.05159599,0.051593406,0.0509594512,0.050935928,0.0500714549,0.0492187589,0.0481710117,0.0479680909,0.0469081941,0.0463589624,0.0454119853,0.0451660331,0.0447415472,0.0446115325,0.0445962072,0.0443180009,0.0435197628,0.0430543642,0.0424926144,0.0422575088,0.0419124197,0.0417724116,0.0416336843,0.0416169175,0.0410734264,0.0406220528,0.0405709569,0.040301215,0.0402665424,0.0400825603,0.0397977958,0.0395924321,0.0390698748,0.0386141225,0.038471056,0.0380225668,0.0379158066,0.0378014662,0.0373172255,0.0371082098,0.0370595807,0.0370401961,0.0369827858,0.036363815,0.0357009238,0.0353659698,0.035206537,0.0350480262,0.034794753,0.0347414089,0.033504603,0.0332867002,0.0332243047,0.0323921262,0.0322528395,0.0320535239,105
302010,0.3013343598,0.2870834225,0.2691390136,0.2141099831,0.2031406996,0.1877185811,0.1802176756,0.16315402,0.1563317557,0.1551075114,0.1500313286,0.147264283,0.1356002767,0.1204805434,0.1178459811,0.1111960629,0.1103865424,0.1042021553,0.1016423035,0.1012894762,0.0983444912,0.0953761647,0.0914179446,0.0901813415,0.0889551599,0.0887642738,0.0879158451,0.0859583257,0.0833121716,0.0825796633,0.0817760382,0.0801564332,0.0771528777,0.0769856048,0.0711151127,0.0710293016,0.0663915688,0.0650678776,0.0637525937,0.0633733152,0.0631071192,0.062792836,0.0616535082,0.0609922049,0.0566458064,0.0560770701,0.054328865,0.0541533075,0.0518123569,0.0515744795,0.0515335654,0.0513213849,0.0511156409,0.0496636072,0.0479269696,0.0478648992,0.0472412857,0.047041267,0.0466634154,0.0464740982,0.0462808698,0.0459997881,0.0455246125,0.0451583725,0.0443978465,0.0442480933,0.0437577672,0.0422615426,0.041563829,0.0415238186,0.0411105036,0.0410050864,0.040880227,0.0405321165,0.0399170704,0.0394444211,0.0393064512,0.0388863212,0.038434116,0.0383055744,0.0379378165,0.0377972558,0.0366264762,0.0359002984,0.0347764233,0.0346102934,0.0338833921,0.0338833921,0.0331090714,0.0330670946,0.0328182401,0.032689253,0.032674949,0.0322934901,0.0322463164,0.0321141374,0.0318924173,0.0315654689,0.0313517551,0.0311567453,2
303014,0.2914440808,0.2212289293,0.2001026687,0.1879104287,0.1845147214,0.1790295791,0.1716384122,0.1612307859,0.1610732961,0.1409328215,0.1409328215,0.1329614425,0.1315988154,0.1294985493,0.1193342801,0.1146689765,0.1105235214,0.1099978297,0.1051555995,0.0939752187,0.0939552143,0.0939552143,0.0929854978,0.0901744483,0.0886409617,0.0886409617,0.0878115841,0.0863178883,0.0848704394,0.0775358017,0.0765046817,0.0689563034,0.0675467675,0.0637762453,0.0631728219,0.061944447,0.0603375524,0.0603375524,0.0603375524,0.0593662518,0.0571328456,0.0566546098,0.0564961789,0.0563052179,0.0551298019,0.0530548529,0.0521427695,0.0517172276,0.0515086411,0.0515072818,0.0514971797,0.0500494963,0.0495727836,0.0472875483,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,0.0469776072,7
303015,0.5199558506,0.4239487832,0.4239487832,0.4239487832,0.2417941781,0.156851935,0.0870992537,0.0673626581,0.0673456093,0.066379264,0.0605305795,0.0600799905,0.0591510267,0.056323376,0.053095137,0.0517607695,0.0485234698,0.0484243452,0.0470565256,0.0445551139,0.0391509913,0.0390388687,0.0352679581,0.0342411392,0.0327036372,0.0326970425,0.0323032032,0.0321868358,0.03037154,0.0299345848,0.0293944137,0.0286858774,0.0285362981,0.0277732387,0.027001928,0.0267340046,0.0265540979,0.026393669,0.0261006609,0.0252808091,0.0251001427,0.0245545829,0.024310218,0.0241015019,0.0235276225,0.0235119721,0.0218872316,0.0216123451,0.0211162863,0.0205800235,0.0202768789,0.0201275308,0.0200855339,0.0196538343,0.0196536696,0.0195523369,0.0193683298,0.0192503969,0.0190308861,0.0187171524,0.0182577048,0.0181639903,0.0180451328,0.0179286734,0.0178944074,0.0178109676,0.0173483556,0.0171063187,0.0170532827,0.0168930291,0.0166080607,0.0165425101,0.0164056507,0.015657327,0.0155903173,0.015352231,0.0153293206,0.0153162834,0.0151376434,0.0150267181,0.0149639602,0.0149628982,0.0149628982,0.0144366396,0.0142731646,0.0141526787,0.0141283667,0.0140875398,0.0140625477,0.0138822779,0.0138547966,0.0138355272,0.013685055,0.013541073,0.0133468764,0.01316447,0.0131353508,0.0130845389,0.0130503304,0.0129212813,128
