Filename, Score1 , Score2 , Score3 , Score4 , Score5 , Score6 , Score7 , Score8 , Score9 , Score10 , Score11 , Score12 , Score13 , Score14 , Score15 , Score16 , Score17 , Score18 , Score19 , Score20 , Score21 , Score22 , Score23 , Score24 , Score25 , Score26 , Score27 , Score28 , Score29 , Score30 , Score31 , Score32 , Score33 , Score34 , Score35 , Score36 , Score37 , Score38 , Score39 , Score40 , Score41 , Score42 , Score43 , Score44 , Score45 , Score46 , Score47 , Score48 , Score49 , Score50 , Citations
302194,0.2991581925,0.2756433207,0.2319062239,0.2244472399,0.1809008498,0.1676980665,0.1551009232,0.144546011,0.1424589958,0.1284359103,0.1254026591,0.1234960715,0.1113704559,0.1100522416,0.1083691496,0.1063678212,0.1051686289,0.104419364,0.103956436,0.0949722156,0.0940029401,0.0911276205,0.0911276205,0.0911245421,0.0902317449,0.0882661112,0.0863512516,0.0839849775,0.0835407109,0.082028961,0.0793896177,0.0740600991,0.0683457154,0.0683457154,0.0683457154,0.0683457154,0.0683457154,0.0683457154,0.0683457154,0.0683457154,0.0667662178,0.0655206053,0.0651723241,0.0635072109,0.0630821452,0.0612694301,0.0598640053,0.0592784808,0.0575796171,0.0558821505,30
302195,0.5337647957,0.3431809693,0.200874565,0.2006866211,0.1803322357,0.1801911589,0.1606126019,0.1593834154,0.1384386288,0.1346548632,0.1325935747,0.1019623586,0.0963749612,0.0935827897,0.0838342475,0.0819268917,0.0802621208,0.0780646276,0.0763194165,0.0705342734,0.0685490332,0.0681673381,0.0665120787,0.0656569369,0.0649543303,0.0611669731,0.0596686289,0.057227293,0.0566500308,0.0552567703,0.0549769469,0.0515131257,0.0514439823,0.0499934287,0.0490242159,0.0487090821,0.0486990571,0.0476092127,0.0475855419,0.0465330128,0.0464935636,0.0460370315,0.0452301477,0.0445608735,0.0443794765,0.0441652664,0.0436021085,0.0433355299,0.0429843716,0.0420872637,6
302017,0.2232225667,0.2199359842,0.2178024913,0.184796071,0.1797517537,0.1725438737,0.1723353728,0.1659318285,0.1540378996,0.1409561987,0.1339435326,0.1316655203,0.1287027027,0.1221711793,0.1209314692,0.1181448846,0.110368373,0.1092357762,0.1011343091,0.0997817532,0.0957285037,0.0932324129,0.0918664249,0.0903320131,0.0878652186,0.0876858556,0.0858749523,0.0848755154,0.0820163306,0.0805653152,0.0797046329,0.0778924294,0.0773685223,0.0770910777,0.076096156,0.0757961808,0.0725686649,0.0722393654,0.0717068592,0.0715501826,0.0709441398,0.0685199987,0.0684621455,0.0675369309,0.0672042325,0.0665518458,0.0652901644,0.0643889488,0.0629396591,0.0623596363,63
302015,0.5198827355,0.3658708627,0.2200999525,0.2144175113,0.1915144865,0.1680021111,0.1554834774,0.1396021849,0.1258546732,0.1232823117,0.112942723,0.1093206879,0.1030625574,0.1004050054,0.0957827513,0.0956572365,0.085793815,0.0848315912,0.0847183559,0.0838178927,0.0771438502,0.0726761883,0.0722922925,0.0721538772,0.0717445607,0.0713825932,0.0705868781,0.0689654618,0.0688493955,0.0677656338,0.0663969143,0.066085727,0.0645539184,0.0632389752,0.0609793421,0.0600412852,0.0598250286,0.05764382,0.0566449387,0.0553282326,0.0550481082,0.0547363555,0.0535404003,0.0533537777,0.0533537777,0.0518769454,0.05070642,0.05056793,0.0492481733,0.0465247757,20
302013,0.6978339192,0.3498848109,0.2369896123,0.1448731449,0.1360663154,0.1237195386,0.1236204338,0.1166282703,0.1081755564,0.1079236986,0.0878232286,0.0875099668,0.0744448342,0.0723446994,0.069903315,0.0693396612,0.068907528,0.0642411582,0.0618146036,0.0583141352,0.0583141352,0.0580771701,0.0561301206,0.0558336257,0.0546267506,0.0539095931,0.0511217793,0.0504847839,0.0498570345,0.0495818363,0.047990196,0.0478209742,0.0449568136,0.0438804433,0.0438804433,0.0436204452,0.043609047,0.0426261407,0.0424975848,0.042485957,0.0393073314,0.0388760901,0.038593304,0.0378339833,0.0374993559,0.0372224171,0.0365737418,0.0351528323,0.0351494421,0.0349534895,10
303019,0.39275776,0.2707546522,0.2279927255,0.212512751,0.2092170809,0.2036152746,0.1897079314,0.1863113933,0.1473505938,0.1469992786,0.1348655717,0.1328802685,0.123595925,0.1142632168,0.1134218395,0.1129054809,0.1094839708,0.1015791762,0.0993437695,0.0975040079,0.0967824728,0.0885387849,0.0814461099,0.0807005913,0.0741182481,0.0714953931,0.0711939628,0.0706244254,0.0694905437,0.0678184934,0.0663531074,0.063826936,0.0637094613,0.0617710123,0.0616730698,0.0611587845,0.0610845824,0.0610845824,0.0606564503,0.0595163695,0.0585694617,0.0584121281,0.0579525032,0.0576295437,0.0557661065,0.0547397114,0.0542165645,0.0536972245,0.0533005949,0.052757503,0
302011,0.3905634633,0.2290162474,0.2280982064,0.2252197096,0.2155964147,0.1981047906,0.1914535993,0.1790799624,0.1506981652,0.1389230668,0.1358969978,0.1333027946,0.1274199963,0.1237713478,0.1083965586,0.1073631296,0.1017978625,0.0973336379,0.0970713059,0.0956120796,0.095382584,0.0944886528,0.0896790831,0.084984462,0.0826754853,0.0805405793,0.0787501376,0.0731402283,0.0712246839,0.070451323,0.0687452591,0.0643412946,0.0631898728,0.0624264166,0.0618215681,0.0614665271,0.0588045815,0.0585115381,0.0574657892,0.0561252014,0.0560420593,0.0556527992,0.0556334061,0.055366252,0.05159599,0.051593406,0.0509594512,0.050935928,0.0500714549,0.0492187589,105
302010,0.3013343598,0.2870834225,0.2691390136,0.2141099831,0.2031406996,0.1877185811,0.1802176756,0.16315402,0.1563317557,0.1551075114,0.1500313286,0.147264283,0.1356002767,0.1204805434,0.1178459811,0.1111960629,0.1103865424,0.1042021553,0.1016423035,0.1012894762,0.0983444912,0.0953761647,0.0914179446,0.0901813415,0.0889551599,0.0887642738,0.0879158451,0.0859583257,0.0833121716,0.0825796633,0.0817760382,0.0801564332,0.0771528777,0.0769856048,0.0711151127,0.0710293016,0.0663915688,0.0650678776,0.0637525937,0.0633733152,0.0631071192,0.062792836,0.0616535082,0.0609922049,0.0566458064,0.0560770701,0.054328865,0.0541533075,0.0518123569,0.0515744795,2
303014,0.2914440808,0.2212289293,0.2001026687,0.1879104287,0.1845147214,0.1790295791,0.1716384122,0.1612307859,0.1610732961,0.1409328215,0.1409328215,0.1329614425,0.1315988154,0.1294985493,0.1193342801,0.1146689765,0.1105235214,0.1099978297,0.1051555995,0.0939752187,0.0939552143,0.0939552143,0.0929854978,0.0901744483,0.0886409617,0.0886409617,0.0878115841,0.0863178883,0.0848704394,0.0775358017,0.0765046817,0.0689563034,0.0675467675,0.0637762453,0.0631728219,0.061944447,0.0603375524,0.0603375524,0.0603375524,0.0593662518,0.0571328456,0.0566546098,0.0564961789,0.0563052179,0.0551298019,0.0530548529,0.0521427695,0.0517172276,0.0515086411,0.0515072818,7
303015,0.5199558506,0.4239487832,0.4239487832,0.4239487832,0.2417941781,0.156851935,0.0870992537,0.0673626581,0.0673456093,0.066379264,0.0605305795,0.0600799905,0.0591510267,0.056323376,0.053095137,0.0517607695,0.0485234698,0.0484243452,0.0470565256,0.0445551139,0.0391509913,0.0390388687,0.0352679581,0.0342411392,0.0327036372,0.0326970425,0.0323032032,0.0321868358,0.03037154,0.0299345848,0.0293944137,0.0286858774,0.0285362981,0.0277732387,0.027001928,0.0267340046,0.0265540979,0.026393669,0.0261006609,0.0252808091,0.0251001427,0.0245545829,0.024310218,0.0241015019,0.0235276225,0.0235119721,0.0218872316,0.0216123451,0.0211162863,0.0205800235,128
303016,0.3092824054,0.2650962962,0.2419018936,0.2085131828,0.204132358,0.1982179941,0.1969440839,0.1587664791,0.1578610701,0.1450084924,0.1183290073,0.1164634779,0.1117228694,0.110222713,0.110039972,0.1082592138,0.1073980049,0.1057599289,0.1006087058,0.0953767213,0.0921792079,0.0912693484,0.0907237023,0.0856038921,0.0844245755,0.0835630472,0.0809102664,0.0783302608,0.0778815772,0.0760677838,0.0741882662,0.0705647329,0.0699864568,0.0697942076,0.0680048868,0.0679913668,0.0679849795,0.0678213047,0.0676416763,0.0640866838,0.0632823456,0.0613718975,0.061096695,0.0609521844,0.0600240845,0.0598027572,0.0570508379,0.0565170363,0.055933296,0.0553068953,207
303017,0.3281834311,0.2678582034,0.2598036602,0.2315687916,0.2278459587,0.1907037107,0.1827834358,0.1687163449,0.1595395892,0.1498627333,0.1498386298,0.1441537129,0.1384028316,0.1330444012,0.1327808948,0.129201571,0.1252521089,0.1202669073,0.1149244432,0.1107893817,0.1076679758,0.1035761062,0.0976495957,0.0945294512,0.0912983574,0.0912983574,0.0885008287,0.0861343807,0.0824704809,0.0797173649,0.0793153609,0.0781436211,0.0773065042,0.0765931858,0.0758564362,0.0750773065,0.0727926116,0.0693014016,0.068473768,0.068473768,0.0660380331,0.0648147279,0.0646007855,0.0640426167,0.0637489247,0.0619510744,0.0617836106,0.0613513981,0.0601927876,0.0596507512,0
303010,0.4240875671,0.2984651475,0.2727024439,0.2419565655,0.2407895865,0.2386858018,0.2020832983,0.1851131525,0.1628083387,0.1572477337,0.1418616685,0.1391012949,0.1146580521,0.1060519696,0.1039109832,0.0979350948,0.0933692704,0.0874128505,0.0866799116,0.0778983668,0.0747107204,0.0745699539,0.0727939917,0.0721099549,0.0684512544,0.0678891616,0.0648837277,0.0635990279,0.0628990935,0.0627866,0.059977497,0.059355567,0.0570772557,0.0565067121,0.054834454,0.0547976548,0.0537159769,0.0526814388,0.0524899005,0.0522847685,0.0522404293,0.051791898,0.0516149154,0.0514810462,0.0501184241,0.0494979978,0.0487610286,0.0487345587,0.0479411316,0.0471776681,85
303011,0.3223193672,0.3183247721,0.2639997569,0.2454997842,0.2201878162,0.1970607495,0.1851020378,0.1776117692,0.1725767681,0.166365984,0.1433257319,0.1307215016,0.1103388464,0.1043723484,0.1042754914,0.1032451783,0.1026521249,0.1009446653,0.0911697016,0.0884288504,0.0850223649,0.0834300451,0.0783322967,0.0780477105,0.076211611,0.0759159055,0.0738859692,0.0734261066,0.0710447077,0.0670155724,0.0663134272,0.0638732977,0.0634001194,0.0632874798,0.0620058582,0.0595494803,0.0594171212,0.0590118873,0.0587408853,0.0587367167,0.0587367167,0.0587367167,0.0581717443,0.0568791134,0.0554144769,0.0550032489,0.0531411338,0.0530573102,0.0527379267,0.0519165146,34
303012,0.4788204626,0.3592168665,0.2479079781,0.2458153661,0.2271703447,0.1881995536,0.1872823268,0.1522017625,0.1458353136,0.1430637894,0.1250202979,0.1242767074,0.1196705521,0.118447448,0.1138566306,0.0966667912,0.0929559376,0.0852044902,0.0845655158,0.0825552522,0.081457826,0.0803942237,0.0757231914,0.0754986595,0.0714401702,0.0714401702,0.0660442017,0.0644257094,0.0624899681,0.0590841126,0.058901103,0.0582655848,0.0576368108,0.0563749495,0.0561259902,0.0547010455,0.0527260521,0.0513009888,0.050609046,0.0481738885,0.0477090405,0.0458427609,0.0448024192,0.0442447729,0.0436246864,0.042035425,0.041963186,0.0408336351,0.0405880755,0.0398435031,19
